specimen_id,hc_conn_4_10,hc_conn_4_15,hc_conn_4_20,hc_conn_4_25,hc_conn_4_30,hc_conn_7_10,hc_conn_7_15,hc_conn_7_20,hc_conn_7_25,hc_conn_7_30,hc_conn_10_10,hc_conn_10_15,hc_conn_10_20,hc_conn_10_25,hc_conn_10_30,hc_combo_0.5_10,hc_combo_0.5_15,hc_combo_0.5_20,hc_combo_0.5_25,hc_combo_0.5_30,hc_combo_1_10,hc_combo_1_15,hc_combo_1_20,hc_combo_1_25,hc_combo_1_30,gmm_combo_0.5_10,gmm_combo_0.5_15,gmm_combo_0.5_20,gmm_combo_0.5_25,gmm_combo_0.5_30,gmm_combo_1_10,gmm_combo_1_15,gmm_combo_1_20,gmm_combo_1_25,gmm_combo_1_30,spec_combo_0.5_10,spec_combo_0.5_15,spec_combo_0.5_20,spec_combo_0.5_25,spec_combo_0.5_30,spec_combo_1_10,spec_combo_1_15,spec_combo_1_20,spec_combo_1_25,spec_combo_1_30,kmeans_combo_0.5_10,kmeans_combo_0.5_15,kmeans_combo_0.5_20,kmeans_combo_0.5_25,kmeans_combo_0.5_30,kmeans_combo_1_10,kmeans_combo_1_15,kmeans_combo_1_20,kmeans_combo_1_25,kmeans_combo_1_30
954032889,2,0,7,7,7,3,3,4,10,10,7,3,1,1,26,3,1,15,7,3,1,2,2,14,14,8,0,9,8,3,3,4,1,2,13,7,1,17,13,4,9,8,5,23,18,1,1,1,1,1,8,1,1,1,1
902255361,3,1,5,10,4,3,3,4,10,10,4,1,2,2,2,9,9,0,24,24,6,6,6,24,24,9,1,13,19,8,1,14,17,7,24,0,13,19,15,6,6,10,10,1,24,9,9,18,4,4,3,10,10,13,13
863478540,4,4,4,4,0,9,9,0,24,24,6,6,6,24,24,9,9,0,15,7,5,5,5,0,0,2,2,7,20,0,2,11,2,0,12,1,5,13,19,9,6,10,10,13,1,3,3,3,9,28,3,3,3,9,9
904725260,4,4,4,4,0,9,9,0,12,5,3,14,14,6,6,4,4,19,19,19,2,0,15,15,15,2,5,7,6,2,2,11,15,0,6,1,14,0,2,27,6,1,15,20,17,2,4,4,12,12,3,3,6,3,3
986895113,1,3,0,2,2,1,5,5,5,2,0,7,3,3,0,7,14,14,14,14,2,11,11,23,11,0,3,1,15,10,4,1,0,24,10,4,3,1,0,1,2,4,0,0,9,8,12,8,19,27,4,4,15,11,11
681419547,3,1,5,8,3,3,3,4,10,10,4,1,2,2,2,1,11,11,5,6,6,6,6,24,24,9,9,18,5,25,8,14,17,15,5,0,11,8,9,3,5,13,19,1,16,9,9,18,4,4,1,13,13,13,13
984056604,4,4,4,4,0,9,9,0,12,5,3,14,14,6,6,7,14,14,14,14,2,11,11,23,11,0,3,8,6,7,4,1,0,24,10,1,14,0,0,27,2,4,15,0,26,4,4,4,12,12,4,4,4,6,6
820060969,0,2,3,0,10,2,0,8,8,8,3,13,13,13,13,4,4,10,10,10,2,0,4,4,18,6,5,16,2,21,5,6,15,4,1,8,14,0,22,1,7,7,1,15,9,4,4,4,11,11,6,6,18,8,8
639910703,0,2,3,11,11,2,2,2,2,12,0,7,3,3,0,3,13,13,13,2,1,2,2,22,22,4,6,14,17,14,3,4,6,20,16,8,14,0,23,1,7,8,9,16,12,6,6,15,16,26,4,12,12,1,26
990229295,8,8,8,1,13,5,12,12,0,25,2,0,7,7,3,2,3,9,9,9,4,1,7,3,1,7,10,11,10,18,6,0,8,11,28,6,0,15,11,28,4,5,18,2,27,0,10,10,5,5,0,14,17,22,22
