"","PC1","PC2","PC3","PC4","PC5"
"Dusp1",0.00117827568893646,-0.0384242595235711,0.0939468395597338,0.111359013002069,-0.0263786502744349
"Blnk",0.165781673889625,-0.0437606627996709,-0.0568621149040916,-0.0154253823421141,-0.0210649885744203
"Qrfpr",-0.115754979346482,-0.0666502028526534,0.0722573520777069,-0.155610073383328,-0.091455712423872
"Slc23a3",0.0066983851259448,-0.00244334848984638,0.00568246778907911,0.0133571026078362,0.0177994644580241
"Gadd45g",-0.000642913917001455,-0.112739968903916,0.101824366695539,0.110140094947488,-0.042165124039944
"Fxyd7",-0.0349667870000765,0.0378107344497007,-0.1947601321631,0.145970046773627,-0.134188761100698
"Cxcl12",-0.136976682398505,-0.146775408606864,0.02793220849544,-0.119516995767124,-0.0544918545912975
"Apoe",-0.0210786261715512,0.0241973600894891,-0.0476606507873731,-0.0169290011737623,0.00556196831335151
"Mc4r",-0.090191022465586,-0.113896321004414,-0.0604625490002307,-0.052242349414717,-0.0758668738977586
"Serpina3n",0.0150359863215769,0.00403486166399293,-0.00814593236501152,-0.00968901859335099,-0.00879715948202183
"Cck",0.0185435623476963,-0.0510546043239396,-0.0465041447298808,0.00837083175926508,-0.0437930567303696
"Tiparp",-0.0259268338382826,-0.0690807244135411,0.186603774398917,0.168211210482154,-0.00129977150619143
"Cdkn1a",0.0330838567436741,-0.0543696139659758,0.128415434998056,0.0755289232586935,0.104593167814172
"Nr4a3",0.0238863821861867,-0.0901740705544783,0.134548705129003,0.157730580836316,-0.0950305326882706
"Obscn",0.0646988713569325,0.0879840935377046,0.00552709999359745,-0.0457705245014876,-0.0549445203980087
"Calm2",0.00362364323428352,0.00174402411017612,-0.0130397398068458,0.00127990492557899,-0.0088140082820143
"Col6a1",0.152363576030865,-0.0179783397570882,0.0663635735993214,-0.140686977415834,0.0142625260794615
"LOC102634350",0.000487579052561488,-0.00360466923351129,-0.000425790536355801,-0.00236647413622096,0.00159285063927274
"Igfbp6",0.158586798986035,0.0444441922443609,0.163185652654361,-0.144516715925603,0.00215020190881036
"Myl4",0.0349273545970613,0.0569047741948731,0.0298765650751638,0.0313576244484532,-0.0252208676888992
"LOC105246318",-0.0030186387701566,-0.00640586455629777,-7.68544146604157e-05,-0.00078325344195663,-0.00264710134310434
"Scn9a",-0.00101458662690969,0.00715437909740926,-0.00945921040010625,-0.00851052213349412,0.0007541554708825
"Cst3",0.0254141925383407,0.0218873274810374,0.000280094032011581,0.0198615092053835,-0.0110294009057328
"Stk17b",-0.137369868854376,-0.100419186024705,0.0812744987582322,-0.0946273957904835,0.101190696836187
"Pamr1",0.0482523473980165,0.0235429881835427,-0.0563961431456273,0.075718992231878,0.0282042278042604
"Gabra1",-0.0427216757737298,0.00432216627132867,0.0129908916586751,-0.0263532685934207,-0.0184796380903963
"Snhg11",0.00264744246604798,-0.00225196198964086,-0.00258157152428872,0.00455389937924524,-0.00999087203734439
"Gt(ROSA)26Sor",-0.000850913546882545,0.0058481280979612,0.0111806818381535,0.00807143909133906,-0.0038486354416601
