"","PC1","PC2","PC3","PC4","PC5"
"Dusp1",0.11658386238989,-0.0118490756502811,-0.1081402037877,0.198507995175263,0.15453618011488
"Nr4a1",0.181910909589505,-0.045965604528066,-0.125056943898581,0.151464951039463,0.032245785945252
"Cldn5",0.00450145012451051,0.00420042089292437,0.00883852260305452,0.00988073557630981,0.00947153816221651
"Ssx9",-0.00230630873634848,0.00196158628251816,0.00106140702412397,-0.000830397592680639,0.000304222747802626
"Fam150b",0.0098293455586378,-0.0115668626277703,0.00357309912544358,-0.0149176497653065,0.0317916020180019
"Cdkn1a",0.19938656164668,0.043239817564432,0.0497073608562573,-0.0114705989149507,-0.0488378086774802
"Tnnc1",0.0473684255885571,0.0312390468081901,-0.0200090636622493,-0.0040252496921907,-0.0868027523611031
"Snap25",0.00549270419413124,0.0150972082446301,-0.00453754351017484,0.00938769238501381,0.0113135388555113
"Pdyn",-0.0015273319041485,-0.00918684593114193,0.125255633867403,0.0239351466919337,0.0338131410445966
"Gadd45g",0.127055196344109,-0.0999006856136598,0.0652998878226921,0.0742736838987824,0.0435072770715165
"Tac1",0.000553508984055058,0.000237765896891007,-0.00181282855364481,0.00231661647511895,0.00519648021953985
"Marcksl1",-0.0252041974763234,-0.2468132229961,-0.0194808381959098,-0.109683124611301,-0.0347841173551638
"Cdh13",-0.0639452996217094,-0.19656058213918,0.184356034130855,0.018601327298717,0.0629201507903402
"Nrn1",0.0431188496352715,-0.00557696948249576,-0.00421853499767603,-0.0210692727554441,-0.0178996966486996
"Rgs2",0.0238594197012618,0.00117350789675334,0.0800189056162295,0.00651478749475732,0.0378957453436537
"Pcdh8",-0.0464449010205771,-0.171000712309848,0.100809410701758,-0.00362823825202446,0.0857519279014688
"Nnat",-0.00166516516725462,-0.0108465405540946,0.0456661788196374,0.00446379949548461,0.0604084320729235
"Car2",-6.6508895696036e-05,0.000375260748800981,0.00186734751273636,0.00341416302801644,0.00815797328344791
"Shisa8",0.0015002068020804,0.00913493832703936,0.0112441167324155,0.00627917257856044,0.0057824132581344
"Adamts1",0.00927939669484933,-0.0104613077356072,0.0113579096340712,-0.0068464525154846,0.0151390027162947
"LOC105244562",0.000106613381995597,-0.00131455395323988,-0.00246618128911179,-0.00145349019240942,-0.00279220798322261
"Meg3",-0.00224435120202709,0.00788118345255043,-0.0138143105587956,-0.0162480794495999,-0.00853429356810814
"Tsnax",0.0232992154097205,0.0233296093880936,-0.00158510733726093,0.0187357766308592,-0.0734046183812919
"R3hdm1",0.0353627153971465,-0.0169744208832339,-0.0294183230558072,-0.053485285616435,-0.0209251879190336
"Mc4r",-0.0129742617470843,-0.0650270268309862,0.0276689044989423,-0.00518138174729514,0.0407873037941098
"Ddit4l",0.00788072962159851,0.148328204690006,-0.0872466919255146,0.0368137717558438,-0.280292622095274
"Snhg11",-0.00345981730069302,0.0212826782710756,-0.0175073232036753,-0.0136206234979985,-0.00615968335316159
"Pcp4l1",0.0257371690478238,0.125137724675999,0.117795476476481,0.118989045082222,0.0219690746056055
"LOC105244954",-0.000181445531483785,-0.00128128427848392,0.000930585949961361,-0.000534622707086861,-0.00141482561682725
"Dmkn",0.0637220391843688,0.113757050529203,0.126327667042281,0.0411219128444028,-0.0621089747282
"Ifrd1",0.0804355381261962,-0.0380482312336843,0.00736318416309128,-0.0304195737384821,-0.0123859744404863
"Lingo1",0.0558547637935564,-0.0325958126448284,0.0272120398596296,-0.0167663952176441,-0.0323729637044343
"Slc16a14",-0.00399706026266396,-0.000927319482019147,-0.0156953510732733,0.00583973215256506,-0.00569923716254581
"Tcrb",0.00102793203257835,0.00161052107323162,0.00590988700793679,-0.00959003938153121,0.00507369454311518
"Crct1",0.0181719829772516,-0.00106247583854967,0.00296294261864548,-0.0233293879936837,-0.00375637444294723
"Isx",0.000268420489605503,0.00300926842088187,0.00551776096644071,0.00342412115462329,0.00209065235197585
"Tiparp",0.136229628491787,-0.0818010084623716,-0.109216809177988,0.213118675602691,0.0660235766346275
"Atp1a3",0.00844323983401842,0.00670139708237873,0.0137999370281628,0.0222468509758947,0.00462788487680766
"Nr4a3",0.115601757787866,-0.122480871565808,0.0165278584655176,0.0935565276303915,0.029047448320853
"2700099C18Rik",0.0125392092822721,-0.0160991893448284,0.0142576761341022,-0.0317085729385007,-0.00392090682509769
