,x,y
639910566,2.3321376,3.1241245
983638695,5.7256103,9.931778
863515305,4.7493668,5.7055526
966873774,4.231543,2.3609943
964887215,8.655771,4.503651
645608113,4.310735,4.6201506
639374007,3.4450252,2.443566
638223032,2.649306,4.6766977
962212550,2.6634579,3.5014973
893371082,8.2728195,4.4077034
989479628,2.8267891,4.733875
863535837,5.7929025,5.542876
973771485,2.2174194,4.8915076
957039327,4.125577,4.823536
904942307,8.041507,5.027268
906568427,2.5340292,4.4113007
699810540,5.3804083,2.5486841
963306220,3.4682245,3.0759656
637383404,4.927378,10.287565
827867891,4.5368342,8.785351
716309237,4.883017,6.3020515
965821175,4.283621,9.412224
994882296,4.856966,8.430427
954032889,3.0105789,4.4558854
977040125,3.9494288,1.4499775
993993470,4.2883344,7.481305
902255361,8.195229,3.7468488
992400811,4.5303407,9.541525
646849289,8.262474,4.0065007
992396042,4.6325436,10.031327
863478540,4.994793,5.2451
904725260,5.4599066,3.8402162
902021902,7.240237,4.159787
986895113,3.6518512,1.7469504
916624146,5.02574,6.3894033
913695508,4.9733315,9.35602
948372246,3.642372,2.1816986
912589594,7.108575,4.7272053
681419547,3.265634,4.105214
984056604,3.982645,1.4416987
919917343,7.3773675,4.9704046
880853797,8.1289015,5.0702605
820060969,3.5007746,5.444251
639910703,5.0730166,4.060099
990229295,5.079628,9.768412
639996724,5.0861506,2.863834
899683133,4.7816925,6.999214
900985661,3.8681211,1.8964989
764482368,2.597465,3.102092
908927809,5.900404,5.632463
833872706,4.350413,7.3855376
907170627,3.0123835,3.2245767
964019012,4.005688,4.8821564
990225226,5.6810117,9.588162
636851021,3.3228824,2.8001223
907125584,4.977932,9.989219
898667347,5.0664053,6.4476676
906597203,5.43754,10.042958
823083861,5.0874624,10.169351
883688278,6.6414113,4.8637133
907432789,5.1152377,6.006398
896619350,3.6687663,5.1616735
644592469,7.1991997,3.538884
947344218,2.9569468,4.5632753
851542876,6.4994607,5.0499134
966849374,1.6486119,5.1129637
681939807,3.4792595,3.408906
902140767,6.51217,3.7881806
646177634,7.488792,7.6177793
989131618,4.680787,9.349109
825365347,2.8200216,2.8607113
705839974,4.5349216,4.016685
1054139238,5.8664155,4.151787
