sample_id,0
PFS4_190711_708_A01,patch-seq-L2/3 IT
PAS4_190124_453_A01,patch-seq-L4 & L5 IT
PES4_190618_651_A01,patch-seq-L2/3 IT
PAS4_190916_454_A01,patch-seq-L2/3 IT
P8S4_191004_358_A01,patch-seq-L5 NP
PES4_190916_655_A01,patch-seq-L5 ET
PES4_191021_651_A01,patch-seq-L5 ET
P8S4_180508_356_A01,patch-seq-L5 ET
P8S4_180502_358_A01,patch-seq-L4 & L5 IT
P8S4_191118_355_A01,patch-seq-L4 & L5 IT
P8S4_191115_355_A01,patch-seq-L6b
PXS4_181220_052_A01,patch-seq-L5 ET
PFS4_190917_708_A01,patch-seq-L4 & L5 IT
PES4_191126_656_A01,patch-seq-L6 IT
P9S4_171023_403_A01,patch-seq-L4 & L5 IT
PES4_190709_655_A01,patch-seq-L6 CT
PAS4_180315_451_A01,patch-seq-L4 & L5 IT
PAS4_180516_452_A01,patch-seq-L5 NP
PAS4_190507_454_A01,patch-seq-L6 CT
PFS4_191028_703_A01,patch-seq-L5 ET
PFS4_191004_703_A01,patch-seq-L5 NP
PAS4_190708_458_A01,patch-seq-L4 & L5 IT
PAS4_191010_454_A01,patch-seq-L5 ET
P8S4_191018_356_A01,patch-seq-L5 ET
P8S4_191021_351_A01,patch-seq-L6 IT
P8S4_190829_356_A01,patch-seq-L6 CT
PES4_190711_652_A01,patch-seq-L6 CT
P1S4_181210_003_A01,patch-seq-L4 & L5 IT
PES4_191206_653_A01,patch-seq-L6 IT
PAS4_191125_454_A01,patch-seq-L5 ET
PBS4_171016_503_A01,patch-seq-L4 & L5 IT
PFS4_181015_705_A01,patch-seq-L4 & L5 IT
P8S4_180406_357_A01,patch-seq-L4 & L5 IT
P8S4_190822_354_A01,patch-seq-L5 ET
PFS4_190411_706_A01,patch-seq-L4 & L5 IT
PFS4_190730_706_A01,patch-seq-L2/3 IT
PAS4_191203_454_A01,patch-seq-L5 ET
P8S4_190718_357_A01,patch-seq-L5 ET
P8S4_190822_356_A01,patch-seq-L6 IT
PAS4_200713_454_A01,patch-seq-L6b
P1S4_190917_001_A01,patch-seq-L4 & L5 IT
PFS4_190808_707_A01,patch-seq-L6 CT
PAS4_200713_455_A01,patch-seq-L6b
P8S4_180507_354_A01,patch-seq-L4 & L5 IT
PAS4_180828_459_A01,patch-seq-L5 ET
P1S4_190801_004_A01,patch-seq-L5 ET
PFS4_190715_701_A01,patch-seq-L5 ET
P8S4_191001_355_A01,patch-seq-L5 NP
P8S4_171020_352_A01,patch-seq-L4 & L5 IT
PFS4_190221_701_A01,patch-seq-L5 ET
P8S4_201002_351_A01,patch-seq-L6 IT Car3
P8S4_171018_356_A01,patch-seq-L4 & L5 IT
PFS4_191206_702_A01,patch-seq-L5 ET
PFS4_190506_702_A01,patch-seq-L6b
PAS4_191024_451_A01,patch-seq-L5 ET
PFS4_190917_706_A01,patch-seq-L5 ET
PAS4_191029_451_A01,patch-seq-L6 IT Car3
PFS4_181016_703_A01,patch-seq-L4 & L5 IT
PBS4_171011_505_A01,patch-seq-L4 & L5 IT
P8S4_170718_352_A01,patch-seq-L4 & L5 IT
P2S4_171004_058_A01,patch-seq-L4 & L5 IT
PFS4_190712_703_A01,patch-seq-L2/3 IT
P8S4_191004_357_A01,patch-seq-L5 NP
P1S4_190913_002_A01,patch-seq-L5 ET
P9S4_180705_403_A01,patch-seq-L4 & L5 IT
P2S4_170915_056_A01,patch-seq-L4 & L5 IT
PES4_190320_653_A01,patch-seq-L6b
P1S4_190409_002_A01,patch-seq-L4 & L5 IT
P2S4_180403_053_A01,patch-seq-L4 & L5 IT
PBS4_181023_504_A01,patch-seq-L6 CT
P8S4_170823_355_A01,patch-seq-L4 & L5 IT
PAS4_190709_455_A01,patch-seq-L6 CT
PAS4_191205_453_A01,patch-seq-L4 & L5 IT
P1S4_191010_004_A01,patch-seq-L5 ET
PAS4_190712_457_A01,patch-seq-L6 CT
PAS4_191121_454_A01,patch-seq-L6 IT Car3
PAS4_190802_453_A01,patch-seq-L5 ET
PFS4_200117_701_A01,patch-seq-L6 IT Car3
PFS4_190923_701_A01,patch-seq-L2/3 IT
PFS4_191004_705_A01,patch-seq-L4 & L5 IT
PFS4_190820_702_A01,patch-seq-L6 CT
P8S4_180813_358_A01,patch-seq-L6 IT
PFS4_190214_703_A01,patch-seq-L5 ET
P8S4_190218_357_A01,patch-seq-L4 & L5 IT
PES4_190614_653_A01,patch-seq-L4 & L5 IT
P1S4_190214_003_A01,patch-seq-L2/3 IT
P1S4_190726_004_A01,patch-seq-L2/3 IT
PFS4_191011_704_A01,patch-seq-L5 ET
P8S4_170915_355_A01,patch-seq-L4 & L5 IT
P8S4_191121_353_A01,patch-seq-L5 ET
P8S4_190226_357_A01,patch-seq-L5 ET
P8S4_190919_353_A01,patch-seq-L4 & L5 IT
PFS4_191204_701_A01,patch-seq-L5 ET
PES4_191115_651_A01,patch-seq-L4 & L5 IT
PBS4_171011_504_A01,patch-seq-L5 ET
PFS4_190920_707_A01,patch-seq-L4 & L5 IT
PFS4_190730_703_A01,patch-seq-L6b
P1S4_190712_005_A01,patch-seq-L6 CT
P1S4_180705_004_A01,patch-seq-L4 & L5 IT
P1S4_191108_002_A01,patch-seq-L6b
P8S4_171101_351_A01,patch-seq-L4 & L5 IT
PFS4_190906_702_A01,patch-seq-L5 ET
PAS4_190701_451_A01,patch-seq-L5 ET
P8S4_190917_353_A01,patch-seq-L5 ET
PES4_190701_651_A01,patch-seq-L5 ET
P8S4_171025_351_A01,patch-seq-L6 CT
P8S4_190919_356_A01,patch-seq-L5 ET
PAS4_191203_451_A01,patch-seq-L5 ET
PFS4_191205_704_A01,patch-seq-L2/3 IT
P2S4_171102_051_A01,patch-seq-L4 & L5 IT
P8S4_190729_352_A01,patch-seq-L5 ET
PAS4_190506_451_A01,patch-seq-L6 CT
PFS4_191010_705_A01,patch-seq-L5 ET
PFS4_191008_701_A01,patch-seq-L2/3 IT
PAS4_190418_457_A01,patch-seq-L6 CT
P8S4_190916_353_A01,patch-seq-L5 ET
P8S4_171010_353_A01,patch-seq-L4 & L5 IT
PAS4_190708_455_A01,patch-seq-L5 ET
P8S4_190822_353_A01,patch-seq-L5 ET
PES4_191203_651_A01,patch-seq-L5 ET
P2S4_170719_055_A01,patch-seq-L5 ET
PAS4_191205_456_A01,patch-seq-L6 IT
P8S4_180508_354_A01,patch-seq-L5 ET
PFS4_190808_706_A01,patch-seq-L6 IT
P2S4_180702_056_A01,patch-seq-L4 & L5 IT
PFS4_200817_703_A01,patch-seq-L5 ET
PES4_191107_652_A01,patch-seq-L5 ET
PES4_191205_652_A01,patch-seq-L5 ET
P9S4_170922_404_A01,patch-seq-L4 & L5 IT
P1S4_200211_002_A01,patch-seq-L6b
P1S4_190905_001_A01,patch-seq-L4 & L5 IT
PES4_190802_651_A01,patch-seq-L5 ET
P8S4_200709_357_A01,patch-seq-L5 ET
P1S4_190926_003_A01,patch-seq-L4 & L5 IT
PFS4_190718_703_A01,patch-seq-L6 CT
PES4_200708_653_A01,patch-seq-L6b
PFS4_191021_701_A01,patch-seq-L5 ET
P8S4_191118_354_A01,patch-seq-L2/3 IT
P8S4_200709_354_A01,patch-seq-L6b
P1S4_191107_001_A01,patch-seq-L6b
P8S4_191101_355_A01,patch-seq-L5 ET
PFS4_190919_705_A01,patch-seq-L2/3 IT
PAS4_171011_452_A01,patch-seq-L5 ET
PFS4_190822_703_A01,patch-seq-L6 CT
P8S4_191119_354_A01,patch-seq-L6 CT
P1S4_190919_004_A01,patch-seq-L5 ET
P1S4_180502_003_A01,patch-seq-L4 & L5 IT
P1S4_190919_002_A01,patch-seq-L4 & L5 IT
PAS4_200708_452_A01,patch-seq-L6b
PFS4_190807_704_A01,patch-seq-L2/3 IT
PAS4_201005_451_A01,patch-seq-L6 IT Car3
PFS4_190809_706_A01,patch-seq-L6 CT
P8S4_190729_353_A01,patch-seq-L4 & L5 IT
P8S4_191004_355_A01,patch-seq-L5 NP
PFS4_190418_701_A01,patch-seq-L6 CT
PES4_190919_652_A01,patch-seq-L4 & L5 IT
PES4_190919_654_A01,patch-seq-L5 ET
