"","x"
"597","Tmem45a2"
"598","A930011O12Rik"
"599","Cngb3"
"600","Grik1"
"601","Ern2"
"602","Tmem159"
"603","Calm2"
"604","Pcdh20"
"605","Obscn"
"606","Thbs2"
"607","LOC105245096"
"608","Mndal"
"609","St8sia2"
"610","Tex15"
"611","Rgs13"
"612","Ssx9"
"613","Vmn2r-ps88"
"614","Tsc22d1"
"615","Tyr"
"616","LOC105245857"
"617","Vstm2a"
"618","Clic4"
"619","LOC105244085"
"620","Pdcl2"
"621","Atf7ip2"
"622","Luzp2"
"623","Ngf"
"624","LOC105245796"
"625","Cnr1"
"626","Gadd45b"
"627","Dkk2"
"628","Olfr1428"
"629","Bbox1"
"630","Atp6ap2"
"631","Matn2"
"632","LOC105243954"
"633","Ppp1r17"
"634","LOC105246230"
"635","Rgs12"
"636","LOC105247208"
"637","Arpp19"
"638","5031414D18Rik"
"639","Stk32a"
"640","Treml4"
"641","Cdh12"
"642","Baz1a"
"643","Mest"
"644","Pkhd1l1"
"645","Igsf21"
"646","Miat"
"647","Tdrd6"
"648","Vmn2r-ps123"
"649","Rap1gds1"
"650","Rasgrf2"
"651","Col26a1"
"652","LOC105246451"
"653","Gprin2"
"654","Egflam"
"655","Slc22a29"
"656","LOC105242674"
"657","Cmah"
"658","Gpr17"
"659","Edil3"
"660","Sstr2"
"661","Cnr2"
"662","Colec12"
"663","1500009L16Rik"
"664","Tmem100"
"665","Mapk4"
"666","Dkk3"
"667","Sulf2"
"668","Pcdh15"
"669","Maob"
"670","Ddr2"
"671","Slc19a3"
"672","LOC105243205"
"673","LOC105243853"
"674","Parm1"
"675","Tmem47"
"676","Sept7"
"677","Bcat1"
"678","Ptchd4"
"679","Cpne2"
"680","F11r"
"681","LOC105244002"
"682","Lrp2"
"683","Galnt14"
"684","Ccdc168"
"685","Rgs17"
"686","Gabra5"
"687","LOC105246327"
"688","Whrn"
"689","Hcrtr2"
"690","Frem1"
"691","LOC105244865"
"692","Cx3cr1"
"693","Pik3ap1"
"694","4933427I22Rik"
"695","Syne1"
"696","Slc12a5"
"697","LOC105245693"
"698","Dnali1"
"699","LOC105244448"
"700","LOC105243213"
"701","Ly6i"
"702","Hist1h2bc"
"703","Dusp6"
"704","Actc1"
"705","LOC105246295"
"706","Cdc20b"
"707","Flnc"
"708","Nts"
"709","LOC105246954"
"710","LOC102639912"
"711","LOC105247071"
"712","Timp2"
"713","Gpr115"
"714","LOC105243537"
"715","2510009E07Rik"
"716","Gpx8"
"717","LOC102632415"
"718","5430435G22Rik"
"719","Cntnap3"
"720","Vit"
"721","Myoz3"
"722","LOC105243153"
"723","Rxfp3"
"724","AI662270"
"725","Ggta1"
"726","Lmo3"
"727","Calca"
"728","D830026I12Rik"
"729","2610028E06Rik"
"730","LOC105243688"
"731","LOC105247205"
"732","LOC105243859"
"733","LOC105243506"
"734","1600027J07Rik"
"735","Lhfpl1"
"736","Scara5"
"737","Calml4"
"738","Fut9"
"739","Mst1"
"740","Cpne7"
"741","Necab3"
"742","8030451A03Rik"
"743","Serpinb11"
"744","Unc13b"
"745","Mal"
"746","Mtl5"
"747","LOC102631979"
"748","LOC105246038"
"749","Gabra1"
"750","Casr"
"751","Cldn9"
"752","Arhgef28"
"753","Nell1"
"754","Cybb"
"755","LOC105243934"
"756","Crtac1"
"757","LOC102634128"
"758","Shroom3"
"759","Rnf17"
"760","Fermt1"
"761","Ddx60"
"762","LOC105244168"
"763","Rdh1"
"764","Hmga2-ps1"
"765","Tcaf2"
"766","Srgn"
"767","Pla2g16"
"768","F2r"
"769","Scgn"
"770","LOC102642414"
"771","Lrmp"
"772","C730002L08Rik"
"773","Olfr78"
"774","Aplnr"
"775","Rab26"
"776","Igfbp2"
"777","Il13ra1"
"778","Kcnv1"
"779","LOC105243988"
"780","Bpifa1"
"781","Itm2c"
