sample_id,x,y
P8S4_190214_351_A01,5.2233577,11.849235
P8S4_190703_353_A01,4.8016315,12.750422
P8S4_190919_354_A01,5.276626,11.833976
P8S4_191018_356_A01,3.4616222,11.502043
P8S4_191205_351_A01,4.8403277,11.574652
PAS4_190510_452_A01,5.024333,12.400474
PAS4_190708_455_A01,5.0448976,11.904179
PAS4_190718_451_A01,3.7784395,12.155809
PAS4_190730_456_A01,5.294173,11.793042
PAS4_191010_454_A01,4.77908,12.4114
PAS4_191022_451_A01,4.7884035,11.559049
PAS4_191115_451_A01,3.7430394,11.479955
PES4_190222_654_A01,5.538566,11.476033
PES4_190703_655_A01,3.906188,12.797654
PES4_191028_652_A01,5.1749864,12.393864
PES4_200707_654_A01,5.5616484,11.278086
PFS4_190513_705_A01,5.381607,12.29903
PFS4_190801_702_A01,5.5970917,12.244362
PFS4_190802_704_A01,4.5460114,12.163882
PFS4_191011_705_A01,5.329917,12.083379
PFS4_191203_701_A01,5.64312,12.071279
P1S4_190509_003_A01,5.2964005,12.273682
P1S4_190604_002_A01,4.8336315,12.322695
P1S4_190701_006_A01,4.6154504,12.421662
P1S4_190913_001_A01,5.0325685,11.778144
P8S4_190708_355_A01,4.693625,12.686428
P8S4_190718_351_A01,5.521542,12.731605
P8S4_191204_351_A01,4.8120666,11.67353
PAS4_191101_453_A01,4.9336576,11.927925
PES4_190627_652_A01,3.6931498,12.281339
PES4_191203_651_A01,5.5738573,12.403037
PES4_200106_653_A01,5.1547503,11.73109
PFS4_190703_704_A01,4.1378074,12.744674
PFS4_190802_703_A01,3.2416608,11.842112
P1S4_190214_002_A01,4.9781723,11.670716
PFS4_191010_704_A01,5.1585274,12.017929
PFS4_191108_701_A01,3.0791495,11.599538
PES4_190701_651_A01,4.3166237,11.995751
PES4_190802_653_A01,5.05396,12.04313
P1S4_190801_005_A01,4.090202,11.743621
PES4_191122_651_A01,5.0355687,12.2479515
PAS4_191003_451_A01,3.9516943,11.894145
PES4_190326_655_A01,4.6911077,12.621169
