,t_type,met_type,inferred_met_type
645542364,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
916627946,L6 IT VISp Penk Fst,,L6 IT-3
898953706,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
969998828,L2/3 IT VISp Agmat,,L2/3 IT
742019567,L6 IT VISp Col18a1,,
912085494,L6 IT VISp Col18a1,,
962105846,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
916681208,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
915788289,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
975405575,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
841810440,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
1036186120,L6b Col8a1 Rprm,L6b,L6b
867099146,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
680858122,L2/3 IT VISp Adamts2,,L2/3 IT
653193740,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
951722517,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
965771797,L6 CT VISp Gpr139,L6 CT-2,L6 CT-2
962261526,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
961114647,L5 NP VISp Trhr Met,L5 NP,L5 NP
989467159,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
904876570,L5 ET VISp Krt80,,L5 ET-2
896877084,L2/3 IT VISp Rrad,,L2/3 IT
902357532,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
643510812,L4 IT VISp Rspo1,,L4 IT
986231328,L2/3 IT VISp Agmat,,L2/3 IT
1000780329,L5 ET VISp Krt80,,L5 ET-3
645354028,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
908628525,L5 ET VISp Krt80,,L5 ET-3
940794414,L5 ET VISp Lgr5,,L5 ET-3
867742255,L6 IT VISp Car3,,L5/L6 IT Car3
914354735,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
972517935,L5 ET VISp Krt80,,L5 ET-2
982745652,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
916582970,L6b VISp Crh,,L6b
841888315,L5 ET VISp Krt80,L5 ET-2,L5 ET-2
645530172,L4 IT VISp Rspo1,L4 IT,L4 IT
901403196,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
