region,(Intercept),model_type,surface_ccf_x,surface_ccf_y,surface_ccf_z,LF1_L5_ET,LF2_L5_ET
ipsi_SCiw,-2.159717693317664,lf,NA,NA,NA,-4.3971152177145646e-4,-9.357832369324637e-4
ipsi_SCig,0.9082585601768907,lf,NA,NA,NA,3.5218464150315784e-38,5.913107222782442e-39
ipsi_LP,1.1056616202108251,lf,NA,NA,NA,0.44165510018304577,0.6874977892140698
ipsi_LD,0.2243640961716977,lf,NA,NA,NA,0.007520368261949427,0.2525447472338483
ipsi_LGd-co,-1.0914317107932976,lf,NA,NA,NA,-0.14423447205336928,0.771076154456656
ipsi_APN,0.6589133082035841,lf,NA,NA,NA,-0.027382598162436166,0.29532623999372964
ipsi_SCop,0.5913644862500033,lf,NA,NA,NA,-1.6162054003534166e-38,-3.6304664394795743e-38
ipsi_SCsg,0.3763174409365148,lf,NA,NA,NA,-0.04358134421079952,-0.03859842140095202
ipsi_ZI,-1.5879754632407646,lf,NA,NA,NA,0.7192081195898227,0.2054554873167855
ipsi_PPT,-0.6936546309704833,lf,NA,NA,NA,-0.00107778082965969,-9.610433727195799e-4
ipsi_LGd-sh,-3.0325462466767075,lf,NA,NA,NA,-9.275363635015593e-39,-7.005185350288266e-39
ipsi_SubG,-2.797281334830153,lf,NA,NA,NA,8.31557498807472e-39,-9.988273843530818e-39
ipsi_PG,-0.8243690971892559,lf,NA,NA,NA,0.3617774250889338,0.1674010395945661
ipsi_POL,-2.3693125308307836,lf,NA,NA,NA,0.25316823691388574,-0.065641121204910155
ipsi_NOT,-0.9897964122187974,lf,NA,NA,NA,0.0853688389874677,0.02168551272781841
ipsi_OP,-1.8325845598138972,lf,NA,NA,NA,1.4567151852534408e-4,-0.0013576683616989766
ipsi_LGd-ip,-2.543555369634854,lf,NA,NA,NA,-0.10209808185007639,0.4197858971567734
ipsi_MPT,-1.9324685891338567,lf,NA,NA,NA,8.22359671551776e-4,3.8974206717164053e-4
ipsi_SCzo,-1.7398257695449513,lf,NA,NA,NA,-0.0015806064380913666,-6.65624768137764e-4
ipsi_VISl,6.269539100074851,full,-5.203325892974787e-4,0.001612424226296214,-0.00131181466417483,0.27454158731352535,-0.09037228824032044
ipsi_VISal,10.536032764942957,full,-0.001107363826049559,1.138822531438425e-4,-9.243522886018129e-4,0.39682524674371833,0.3966817700762486
ipsi_VISrl,27.784654418038222,full,-0.0029474932435666714,8.635072202207314e-4,-0.0018076528765186516,0.15103215766667444,0.6854975652383613
ipsi_VISpl,-20.59920878496934,full,0.0018531393245165189,0.0027925827682672433,-0.0011028200230703347,0.22427089444842538,0.631806292243062
ipsi_VISpm,9.895818981527299,full,-0.0022711199335145953,-0.0023766274582369255,0.0029460110452288607,0.15567071434868252,-0.06729429280040328
ipsi_VISam,25.05804598464754,full,-0.0030215441056049984,-0.0010942423304786625,-1.2198329871137043e-4,-0.010378863596188776,-0.09294201750701202
ipsi_RSPagl,-16.395006154152814,full,6.148992843952195e-4,0.0011955500749783665,0.002232438597148057,0.13034290138555601,-0.4198971789357119
ipsi_CP,12.06364018103315,full,-0.0010384075732756788,2.9424403713766977e-4,-0.0010820262771677406,0.02178392234354649,0.00916648919496697
ipsi_LGv,2.555402600281477,full,-4.905608331710706e-5,5.395995810468301e-4,-5.301869004047399e-4,0.009956966979795574,0.017292452062009255
ipsi_SCiw,-2.1594842493533726,full,6.91241903825373e-41,8.507309571111094e-41,-1.921916381262083e-41,-1.0735414769787929e-38,-2.277745735507666e-38
ipsi_SCig,2.0978552319863395,full,-6.0132589224458036e-5,1.5245972209765933e-4,-2.475054004028228e-4,0.04523269401123343,-0.0021804201608655385
ipsi_LP,-7.37186423989313,full,5.768232996132012e-4,9.820442816327324e-4,7.449933387246136e-4,0.6022457447543975,0.7005541482966696
ipsi_LD,-8.17120810190902,full,7.715730380141068e-4,-6.593007028321773e-4,6.00660905604644e-4,0.008541924322518622,0.6233681039418415
ipsi_LGd-co,-4.3768498735045345,full,2.518598443619488e-4,7.553363818560652e-4,1.6446506520840717e-5,-0.20966412583558605,1.0915940737748615
ipsi_APN,0.2835370868949609,full,3.670289981552893e-5,-4.920980149129127e-6,8.801256390797008e-6,0.01085878451584568,0.048819062478070344
ipsi_SCop,0.31632990596918337,full,3.2900384274312966e-5,1.2489576828791433e-4,-5.1361120212309906e-5,-0.006395345178452196,-0.018430669118607544
ipsi_SCsg,-2.6391216140896545,full,2.5324248124989333e-4,5.857206733408513e-4,2.9697261549403748e-5,-0.06695447682988133,-0.09288129792124988
ipsi_ZI,6.000719341202922,full,-8.134637544214223e-4,-2.0938956722620487e-4,2.9788552539336767e-5,0.5433478233282261,0.23421971366799021
ipsi_PPT,-2.316550206450904,full,1.5331207541326202e-4,1.9905675866126047e-4,-4.68470623561732e-6,-0.014825493310896873,-0.02028725930549769
ipsi_LGd-sh,-3.0325462466767075,full,5.795910060529587e-41,5.932434800433082e-41,3.7506489379781247e-41,-9.275363635015593e-39,-7.005185350288266e-39
ipsi_SubG,-2.801634161989856,full,-1.726075910059389e-6,-1.5685827985770966e-5,1.2005859989536748e-5,0.0019329209433040695,-0.002314530944564753
ipsi_PG,10.508506261290567,full,-9.977219259439524e-4,9.309938673462951e-4,-0.0010308006973694642,0.2131542710262779,0.2127347825854557
ipsi_POL,-10.144564350204199,full,6.457746199237603e-4,3.094738281283462e-4,4.705619356115482e-4,0.5930095647743463,-0.1806490561479567
ipsi_NOT,-0.8456970143206511,full,-1.4505819451184122e-5,-4.853515147473484e-7,-1.0884484662755678e-5,0.019982241609868955,0.006739309656018613
ipsi_OP,-3.0214795365873375,full,1.6964254631318456e-4,4.959199131523641e-4,-3.0392406863188925e-4,0.029026788545945887,-0.08819465304545249
ipsi_LGd-ip,-3.957803450823956,full,3.6516576476347643e-4,8.432681688620482e-4,-0.0010333390940421591,-0.04222104257664508,0.36633751897392913
ipsi_MPT,-9.598534115534871,full,6.909437093010087e-4,5.093727666207502e-4,2.2680017545605294e-4,0.17379247520180843,0.01215979951188442
ipsi_SCzo,-1.7391157357426332,full,2.820027399695204e-41,4.0635740797796845e-41,-2.574203153084368e-41,-4.2934460450012017e-38,-1.81687123248644e-38
