"","v1_alm_first_cl","v1_alm_second_cl","v1_alm_third_cl","v1_first_cl","v1_second_cl","v1_third_cl","v1_alm_first_bt","v1_alm_second_bt","v1_alm_third_bt","v1_first_bt","v1_second_bt","v1_third_bt","v1_alm_first_KL","v1_alm_second_KL","v1_alm_third_KL","v1_first_KL","v1_second_KL","v1_third_KL","v1_alm_first_cor","v1_alm_second_cor","v1_alm_third_cor","v1_first_cor","v1_second_cor","v1_third_cor","v1_alm_call","v1_call"
"T31_1.B3_S42_L006_1512528.0","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.31,0.28,0.25,0.56,0.42,0.02,3.9311478086791,2.56856759176808,3.56182683375017,6.34695505632619,1.73700515887882,9.83410195763271,0.54784054313726,0.570612961908445,0.552788296329205,0.570661956930559,0.552963953044554,0.530055125010696,"PoorQ","PoorQ"
"T31_1.B5_S58_L006_2717406.5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.32,0.3,0.27,1,0,0,2.73999501965246,2.72038491825623,3.5620262266602,0.0398947832087174,16.1179430109686,16.1179428006942,0.562795789958485,0.531612530333207,0.545081020856785,0.562842354381896,0.507683117856431,0.527642317745229,"PoorQ","Core"
"T31_1.B6_S66_L006_2552678.5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.9,0.06,0.04,1,0,0,0.294328699053546,4.03324167341182,4.39194179903666,0.0398947832087174,16.1179430109686,16.1179428006942,0.590229218297043,0.5538933234924,0.569292889583164,0.590271628723894,0.522674997616827,0.54366339896187,"Core","Core"
"T31_1.B7_S74_L006_1870420.5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","Lamp5 Krt73","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.65,0.35,0,0.83,0.17,0,0.742285714501651,0.801231645450014,15.470463928379,0.391098183033458,12.9287933947178,5.3942710826069,0.566189968441265,0.568356041091129,0.423641830637033,0.566305790685326,0.546127170278781,0.55102497813599,"I2","I1"
"T31_1.B8_S82_L006_1898141.0","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.51,0.43,0.04,0.53,0.46,0.01,3.16265924563362,1.73131815047767,9.44805450340441,6.8568449495488,1.61834309263359,9.5272239322142,0.56728986069387,0.568231870541915,0.546419065839754,0.567325432745087,0.568391319309916,0.546687176964072,"PoorQ","PoorQ"
"T31_1.B9_S90_L006_2203786.5","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.34,0.26,0.23,0.65,0.34,0.01,3.45374884110977,2.30998716548253,3.24968839176272,4.9743630160565,2.17473138701923,10.3751194517762,0.589088124409888,0.599048366790644,0.589528283325169,0.599066522489434,0.58966276777591,0.58962406777862,"PoorQ","PoorQ"
"T31_1.C1_S27_L006_2526057.0","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L5 IT ALM Pld5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad",0.72,0.15,0.09,0.62,0.27,0.11,0.579493443850544,2.77697672899643,7.52443514342391,0.448036915810327,0.55226245014888,2.24380931747526,0.581039604370864,0.590065753545453,0.55946447135752,0.581156566850832,0.590384850070345,0.570015306507845,"I1","I1"
"T31_1.C10_S99_L006_2095704.0","L5 IT ALM Pld5","L4 IT VISp Rspo1","L5 PT ALM Hpgd","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.24,0.21,0.13,0.45,0.38,0.17,7.27106593084912,6.68976685008725,11.6110983949408,1.06352137509815,8.98005249252522,6.79591971565613,0.537584752329749,0.54833436120893,0.523015299725399,0.554822764192885,0.548355251085476,0.543181700915794,"PoorQ","I2"
"T31_1.C11_S107_L006_2463958.0","L4 IT VISp Rspo1","L5 IT VISp Hsd11b1 Endou","L5 IT VISp Batf3","L4 IT VISp Rspo1","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.97,0.01,0.01,1,0,0,0.200844215552542,2.58161207622739,15.7033152147703,0.0398947832087174,16.1179430109686,16.1179428006942,0.599544133814866,0.561389245862698,0.528415840007146,0.599575249550066,0.538173014162912,0.555944097519427,"Core","Core"
"T31_1.C12_S115_L006_2078933.5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","Lamp5 Krt73","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.98,0.02,0,0.88,0.12,0,0.144420403358694,1.96547031782835,16.01986513602,0.0424967625272484,2.93980714648374,1.4790909044355,0.567463986000964,0.575339172371324,0.417133084324249,0.567613755951236,0.552235922100116,0.575941777997706,"Core","I1"
"T31_1.C3_S43_L006_2085137.5","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.88,0.11,0.01,0.44,0.31,0.15,0.0561957288962489,3.62885065776887,1.74707976570096,7.80449062369619,6.69855218047662,6.90207009137068,0.602128219097181,0.586483103351386,0.599511111298678,0.583279533543208,0.586721290530416,0.599898691472979,"I1","PoorQ"
"T31_1.C4_S51_L006_1592104.0","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.46,0.38,0.16,0.53,0.25,0.2,7.7948905491563,5.08689957583214,8.23514873706738,6.51340210402871,1.76599680165822,8.47117996414241,0.595650405050305,0.609052892398138,0.591474052407679,0.609057218718274,0.603524654319832,0.576178643337601,"PoorQ","PoorQ"
"T31_1.C5_S59_L006_1774928.5","L5 IT ALM Pld5","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.3,0.25,0.21,0.5,0.37,0.13,2.99657774117267,2.20727676680876,4.18234350096184,0.982208113285274,9.18939997760004,6.86757303466991,0.555324013378358,0.576461659825492,0.567303849480782,0.576596985300821,0.567330598351919,0.553414268067792,"PoorQ","I2"
"T31_1.C8_S83_L006_1851097.5","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.59,0.25,0.07,0.56,0.4,0.03,0.932352969097423,4.55117386788196,6.04600697716171,6.27178242707352,1.71927599387402,9.71456840434327,0.573093065899797,0.565771458487799,0.55385385272382,0.565792369714086,0.573187580936598,0.555114669791311,"I1","PoorQ"
"T31_1.C9_S91_L006_1927851.0","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","Lamp5 Krt73","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.68,0.32,0,0.5,0.49,0.01,0.979951221907281,4.45857865623179,15.4910408732063,1.45047624774107,7.49754068319579,9.02996420822357,0.588931508809916,0.583864815506397,0.436275219368825,0.589056448424534,0.583881079390615,0.563575219489241,"I1","I2"
"T31_1.D1_S28_L006_2748723.5","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","Lamp5 Krt73","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.92,0.08,0,0.63,0.35,0.01,0.252632440133176,6.56757769917613,15.8391369559052,0.89829170164532,9.7400121522212,7.28192873598601,0.57847619381149,0.58482866803443,0.422807948170225,0.578640135018048,0.584865221987412,0.546853429010275,"Core","I2"
"T31_1.D10_S100_L006_1925760.0","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.36,0.3,0.25,0.99,0.01,0,2.41622684227621,2.95337488809461,4.03480569060447,0.144674351271303,4.18251034210867,15.938236587944,0.584531563184688,0.56444388108758,0.569630959760569,0.584570590295,0.564631148010315,0.534791679417012,"PoorQ","Core"
"T31_1.D11_S108_L006_601846.5","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.39,0.38,0.23,0.78,0.22,0,2.06709654647126,2.74878830216504,3.95346590721258,3.05016247461441,2.84304535261086,12.8694591561109,0.577085257918028,0.588345455918441,0.570856755731284,0.588375025745964,0.577247375384084,0.550265259903949,"PoorQ","PoorQ"
"T31_1.D12_S116_L006_1723106.0","L4 IT VISp Rspo1","L5 IT ALM Pld5","L2/3 IT ALM Macc1 Lrg1","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.29,0.27,0.2,0.76,0.14,0.1,2.93912091951508,3.00066271153625,6.42529337421143,3.18454722351836,2.79445042327417,12.0678820163162,0.589677547401116,0.577462415696173,0.574495292701193,0.589678486215295,0.585066983967369,0.557148132554085,"PoorQ","PoorQ"
"T31_1.D2_S36_L006_1762466.0","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L4 IT VISp Rspo1","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.81,0.1,0.05,0.44,0.34,0.18,0.164514326581925,4.44978147250302,7.1122233214964,7.87816916433765,1.52241988479078,6.67315625981508,0.532701195926761,0.521873301437961,0.51756240579405,0.517573051648124,0.532773250109308,0.540631184825858,"I1","PoorQ"
"T31_1.D3_S44_L006_2057232.0","L4 IT VISp Rspo1","L5 IT VISp Hsd11b1 Endou","L5 PT VISp Lgr5","L4 IT VISp Rspo1","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.93,0.02,0.02,1,0,0,0.304314947840138,2.67160513434583,15.4350110226144,0.0398947832087174,16.1179430109686,16.1179428006942,0.576649346400158,0.536743829763841,0.486143808429261,0.576677155738434,0.515494234333446,0.533383284999837,"Core","Core"
"T31_1.D5_S60_L006_1292850.0","L2/3 IT VISp Agmat","L2/3 IT ALM Macc1 Lrg1","L2/3 IT ALM Sla","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.87,0.08,0.04,0.69,0.31,0,0.272984691929668,4.1624903907743,13.8635915229782,0.806927115293738,10.5146535850841,6.96297497642409,0.560549243322969,0.543316520733576,0.548963492972533,0.560740512568466,0.550140763111807,0.536264584525242,"I1","I1"
"T31_1.D8_S84_L006_1895948.5","L2/3 IT VISp Agmat","L2/3 IT ALM Macc1 Lrg1","L2/3 IT VISp Rrad","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.89,0.05,0.04,0.99,0.01,0,0.0963935306684908,4.80205908742838,4.11067503431877,0.109987133214941,3.6544131541137,1.68445365608777,0.557389975556929,0.54005162517416,0.550078643479746,0.557571658003087,0.55034985293103,0.567492029026799,"I1","Core"
"T31_1.D9_S92_L006_1758116.0","L2/3 IT VISp Agmat","L2/3 IT ALM Sla","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.95,0.02,0.01,0.67,0.33,0,0.16054008611984,15.4223629861866,2.13363470972983,0.874569552418341,10.1780147733667,7.19531383662825,0.585077034766804,0.565895392307669,0.576619674991551,0.58528833581791,0.569360090285673,0.554166406510077,"Core","I1"
"T31_1.E1_S29_L006_2992726.0","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","Lamp5 Krt73","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad",0.6,0.4,0,0.64,0.36,0,0.890549240943282,0.682509719842964,15.4448991943988,0.761701014276333,0.555498015778505,2.81779967015459,0.548305584913097,0.553049224440804,0.397884296132538,0.548462810940047,0.553431250756309,0.530815150190502,"I2","I2"
"T31_1.E10_S101_L006_2674242.0","L4 IT VISp Rspo1","L5 IT ALM Npw","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat",0.29,0.27,0.17,0.57,0.32,0.11,4.53407661333028,9.56581727244747,8.75009724673104,6.02563805772473,8.53972755018735,2.70357341072308,0.487055621757181,0.485252899689289,0.491732647493112,0.48707990975616,0.491976279547084,0.490638422633011,"PoorQ","PoorQ"
"T31_1.E11_S109_L006_1637522.0","L2/3 IT VISp Agmat","L2/3 IT ALM Sla","L2/3 IT ALM Macc1 Lrg1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad",0.88,0.06,0.04,0.86,0.09,0.03,0.251250441722472,13.9589228806729,4.3873198274281,0.080929769899512,1.38704857169863,3.28560537671345,0.602221328309184,0.585111055077112,0.583739045403507,0.602286103378657,0.604189817402096,0.587582866173384,"I1","I1"
"T31_1.E12_S117_L006_1893042.5","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L5 IT ALM Pld5","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Adamts2",0.36,0.34,0.2,0.54,0.35,0.11,4.2544175893909,1.95642195011682,7.64671368237024,1.03693332534003,9.54765779693502,5.66388631377827,0.545947511625415,0.54366839137612,0.523594903632842,0.543768429987303,0.531771296778605,0.546316304315984,"PoorQ","I2"
"T31_1.E5_S61_L006_1942240.5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.71,0.17,0.11,0.52,0.31,0.1,0.22535395211612,1.15724580414192,3.1242084524338,6.63785486638544,1.68311976351649,8.01483055571389,0.555832402105327,0.551791695405064,0.536972156893274,0.546521643114826,0.555980524190777,0.55226287264422,"I1","PoorQ"
"T31_1.E6_S69_L006_2163148.5","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2",0.4,0.25,0.17,1,0,0,2.26969869629008,3.32745457380682,2.84038235376893,0.0398947832087174,16.1179430109686,16.1179428006942,0.580078260981995,0.59915522180423,0.577179669147509,0.599181965172856,0.550840709338894,0.560532500188875,"PoorQ","Core"
"T31_1.E8_S85_L006_1848206.5","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L4 IT VISp Rspo1","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.71,0.14,0.14,0.48,0.42,0.1,0.321082543228114,4.71351380336775,6.81256558846957,7.4535758162275,1.40354096620675,8.37122240556207,0.593056666362659,0.574342727754191,0.59073519668634,0.590765303253998,0.593241725426394,0.574518333491506,"I1","PoorQ"
"T31_1.E9_S93_L006_1635388.5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.38,0.35,0.21,0.75,0.23,0.02,3.18274933941611,2.75512807415436,4.43264786948249,3.427385814257,2.68447328121736,11.8601577506582,0.56897171836495,0.55566528600465,0.552629174698028,0.569004235463027,0.555821471872053,0.545768619567644,"PoorQ","PoorQ"
"T31_1.F1_S30_L006_2321589.0","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.37,0.26,0.18,0.52,0.36,0.12,1.65961592770543,5.33107758061595,6.40765249297538,6.79510005008837,1.59788782973355,8.77730474788638,0.578914859355801,0.572989685503723,0.570335116015943,0.584290757867116,0.578976947175856,0.55352107811991,"I3","PoorQ"
"T31_1.F10_S102_L006_1444624.0","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L2/3 IT ALM Sla","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.83,0.13,0.04,0.49,0.48,0.03,0.0782746793476014,2.72771646499888,5.75473744359796,0.242182803116872,1.13353328006819,2.45445102680836,0.640136602841092,0.636461172417067,0.629720997014976,0.640378608126154,0.636478922419009,0.618966587724577,"I1","I2"
"T31_1.F11_S110_L006_1574925.0","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","Lamp5 Krt73","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.98,0.02,0,0.95,0.05,0,0.144420403358694,1.96547031782835,16.01986513602,0.152145183442847,15.1155278881791,4.16713954453893,0.606249186637154,0.597856829011918,0.439095842357222,0.606334858344385,0.592441444052773,0.581718079183413,"Core","Core"
"T31_1.F12_S118_L006_1438015.5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT ALM Macc1 Lrg1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad",0.23,0.22,0.21,0.84,0.1,0.06,1.57480079632345,1.75514857705853,4.42253763806673,0.0842510552744085,1.09793660291925,2.90476842833452,0.595134573352012,0.590193764372182,0.573104497053636,0.595171168735633,0.590553640746163,0.577515713249408,"I3","I1"
"T31_1.F3_S46_L006_1833722.0","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L5 IT ALM Pld5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.34,0.34,0.26,0.56,0.44,0,2.19329583691025,2.79398592086181,3.68396862438726,6.42831283690867,1.77410197764319,9.98885512726804,0.557956024226011,0.564549815377368,0.552036352408329,0.564579394045899,0.558120099616285,0.532401265872404,"PoorQ","PoorQ"
"T31_1.F4_S54_L006_1501194.0","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.81,0.11,0.04,0.5,0.48,0.02,0.0298958706555499,3.67243841203522,1.58335931690181,7.30180797564095,1.47901421038432,9.08202169049106,0.585618192042372,0.555820693801973,0.571379877507179,0.580867739253973,0.585695752178042,0.55579263045603,"I1","PoorQ"
"T31_1.F5_S62_L006_1713859.5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.55,0.34,0.09,0.46,0.43,0.11,1.07272846574209,2.0047753650402,7.44464351685685,7.75914030791786,1.47196292730652,7.22653430308886,0.557284360207343,0.55839400109107,0.558928538679359,0.558969472791985,0.557467644244287,0.55883352780025,"I2","PoorQ"
"T31_1.F6_S70_L006_1419137.0","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.6,0.28,0.09,0.55,0.45,0,0.919047291152764,5.05232873866202,4.92746888171949,1.31693149266769,8.19468922056413,8.62585431535496,0.602534712061935,0.584916292801252,0.595964030715411,0.602556131622878,0.584928428724904,0.58909480005771,"I1","I2"
"T31_1.F7_S78_L006_1886571.0","L4 IT VISp Rspo1","L5 IT VISp Hsd11b1 Endou","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.29,0.25,0.18,0.92,0.06,0.02,2.81276372390624,4.38324391974379,11.3880035146713,1.0023857608067,3.69586418655996,14.6142316182598,0.535174416417255,0.51081780128645,0.514763854933879,0.535210588594053,0.522891338400712,0.51524495003208,"PoorQ","Core"
"T31_1.F8_S86_L006_1421975.0","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L5 IT ALM Npw","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.51,0.47,0.01,0.6,0.4,0,1.60778252303995,3.1526639481297,15.0379878836751,1.12525782370892,9.01371867371034,8.02243958869729,0.539902000511346,0.544355041927906,0.529162043800701,0.540047165992798,0.544377103679937,0.512023118141149,"I2","I2"
"T31_1.F9_S94_L006_1853954.0","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT ALM Macc1 Lrg1","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.54,0.32,0.11,0.57,0.43,0,1.19463700766597,4.2662617239416,6.98435078294338,6.27014721097209,1.81807697612761,10.1151783372922,0.573582433000205,0.579543018145968,0.564166901260988,0.579576393982238,0.57371369452383,0.547312194615466,"I2","PoorQ"
"T31_1.G10_S103_L006_2525151.5","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad","L2/3 IT ALM Sla","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad",0.72,0.26,0.02,0.98,0.02,0,0.287244981086648,1.85096358760959,7.17419308751164,0.211960760696314,3.50645910117951,2.89801148351535,0.591150750008465,0.568508757042991,0.585102625559967,0.591631759828267,0.564502272909617,0.568666158713852,"I1","Core"
