,complete_axon_total_length,complete_axon_max_euclidean_distance,complete_axon_num_branches,complete_axon_num_tips,complete_axon_max_branch_order,complete_axon_max_path_distance,complete_axon_mean_contraction,axon_width,axon_depth,axon_height,complete_axon_total_number_of_targets,complete_axon_total_projection_length,complete_axon_VIS_length,complete_axon_ipsi_VIS_length,complete_axon_length_in_soma_structure,complete_axon_number_of_VIS_targets,complete_axon_number_of_contra_VIS_targets,fraction_of_complete_axon_in_soma_structure
182709_6984-X2452-Y12423_reg.swc,80496.01716857008,4774.534113467351,445.0,223.0,30.0,14194.749346413613,0.8121236289293802,3697.0622040882545,3497.629893794437,4868.491876034636,14,65249.08118955329,9709.664712050377,9709.664712050377,8076.226834629555,2,0,0.12377533426359727
182709_7010-X2644-Y10852_reg.swc,33987.893507689645,1527.1367724563906,227.0,114.0,28.0,3928.7014286908184,0.8096517779166797,2079.203567799411,880.534873616276,949.751687276079,2,34052.18680933574,34052.18680933574,34052.18680933574,33521.4609129266,2,0,0.984414337341071
182709_7120-X2261-Y10934_reg.swc,41217.064201006135,2331.6988046600272,283.0,142.0,19.0,4177.941439552497,0.8167227628459834,2794.510269708928,1880.9859999999999,1416.9093454591712,5,39106.18574865323,38441.57334332786,38441.57334332786,34077.654826771504,4,0,0.8714134138726403
182709_7126-X2913-Y10535_reg.swc,44488.66242473137,4025.6326212866716,265.0,133.0,29.0,11412.083549589952,0.7434712574554795,3271.589311749258,3293.2618585203536,3855.0666361358717,6,33194.44125000619,9108.965790182589,9108.965790182589,9108.965790182589,1,0,0.2744123849405325
182709_7144-X3121-Y9346_reg.swc,45881.63116910497,3868.7579345738927,333.0,167.0,20.0,10005.615191177365,0.829642219607744,3206.67,2816.6129816354696,3961.9012139314323,4,35746.464607890375,13243.493724146436,13243.493724146436,13243.493724146436,1,0,0.37048401483662186
182709_7463-X3586-Y20695_reg.swc,59259.951002794805,4112.559319336328,397.0,199.0,21.0,12312.363773226973,0.826291844453135,4095.502764412253,3291.6735522351355,3490.777106767014,8,48465.30124952047,14975.10824732068,14975.10824732068,14975.10824732068,1,0,0.30898617900304187
182709_7486-X4577-Y22503_reg.swc,34034.998873939934,4043.5356858326195,297.0,149.0,22.0,9801.140443392,0.7661213222888714,2918.116108601087,2116.769297692495,3787.1830399322625,2,21733.836909080772,21733.836909080772,21733.836909080772,19810.223010767422,2,0,0.9114922088372887
182709_7886-X5075-Y22541_2_reg.swc,38096.031854750785,4028.791078626409,285.0,143.0,24.0,12538.193915785514,0.6891929728104108,3258.0643379863704,3944.5899567732677,3332.4585650345525,5,30866.20980921176,15789.806695743733,15789.806695743733,15378.636092573795,2,0,0.49823532554308536
182709_7918-X5201-Y22656_reg.swc,41821.30654795304,3950.36891271606,289.0,145.0,21.0,13176.10755820178,0.7348902222562748,3222.2040475166386,3928.41311161475,3332.5206294514783,5,31716.08797839386,12246.829776918812,12246.829776918812,11622.096134443333,2,0,0.3664416665245954
182724_5937-X3804-Y11955_reg.swc,103873.20058975344,5308.275674477447,631.0,316.0,32.0,12974.05607143766,0.8708703722996024,6560.501277799342,6117.171290499944,4914.8400149665495,31,81592.40195491597,21159.614087795788,21159.614087795788,14194.939923170714,4,0,0.1739737963715562
182724_6175-X3782-Y10859_reg.swc,110834.68669257086,6352.2981769333355,729.0,365.0,27.0,12962.404807586616,0.8535696095571396,4392.8086778374145,4550.98391143381,6447.329222955627,30,94743.02808180968,27805.459355118277,27805.459355118277,18425.213564190424,5,0,0.19447566683514098
182724_6305-X3647-Y18869_reg.swc,76772.63832315907,4668.533202065399,331.0,166.0,26.0,12890.006616602408,0.8477897222841868,4482.086201233461,2667.841,5212.282049549273,19,56546.338482433464,8932.26221510797,8932.26221510797,4470.129106730388,3,0,0.07905249440897162
182724_6354-X4834-Y8105_reg.swc,112357.00056854682,8389.84219830477,1059.0,530.0,37.0,15038.371085491517,0.8695009202651133,9429.826,4468.938,6579.322378890743,17,84629.51287350517,20213.39670361458,20213.39670361458,11972.620899190684,4,0,0.14147098917000778
182724_6360-X3448-Y12540_reg.swc,74393.74151959528,5414.5934967205985,359.0,180.0,24.0,12041.831425837245,0.8660275928976581,7150.243267132534,2893.513292166502,5589.654507582387,18,59795.505260461345,19173.758103175547,19173.758103175547,18107.453612057987,3,0,0.3028229886708759
182724_6361-X3802-Y10603_reg.swc,62790.97720425681,5663.0646056689775,537.0,269.0,24.0,12074.834790885196,0.8758366503708863,5141.626000000001,2465.3776418597595,5964.876971606016,19,48188.3042626273,9483.069937221966,9483.069937221966,4898.27537115332,5,0,0.10164863541280915
182724_6391-X3524-Y11978_reg.swc,63699.094123194984,4905.629977494116,309.0,155.0,27.0,12434.478089056553,0.8281262969507465,5211.793,3075.328516294357,5403.20578681627,13,46892.40725595485,17391.761999037943,17391.761999037943,9826.45109081501,3,0,0.20955313804170614
182724_6396-X3762-Y10790_reg.swc,41618.525809055354,5952.323466425636,247.0,124.0,16.0,10819.107363237257,0.8459982111698631,2718.4848535911706,2320.084474398889,5857.157041756585,14,27403.1102079656,10261.954406342524,10261.954406342524,2474.7362826662093,4,0,0.09030859139291594
182724_6416-X3689-Y10398_reg.swc,89819.833323451,4713.577960176613,533.0,267.0,21.0,5945.126163259221,0.8600271590853779,4907.915000000001,6096.290906969491,3566.3680468991947,8,72665.08125219366,36741.46789646841,36741.46789646841,13238.444978347385,5,0,0.1821844103139668
182724_6450-X3505-Y11792_reg.swc,83201.40623320224,5591.736300485768,363.0,182.0,23.0,11753.329473738491,0.8671018543252855,6281.882181460029,3365.7782044820515,6058.392572759136,22,58460.009264215354,11601.080335173136,11601.080335173136,10154.768459082788,2,0,0.17370453044554585
182724_6457-X3810-Y19182_reg.swc,87116.7225086169,5294.379940965152,629.0,315.0,34.0,14746.69540736081,0.8430935283054988,4276.699480437944,2651.4721265291905,5787.551371035864,22,73391.29472454314,22125.896616285037,22125.896616285037,17975.895825873034,3,0,0.2449322619711412
182724_6644-X4183-Y20666_reg.swc,61423.629345434005,6484.651317999911,455.0,228.0,27.0,11527.540974832205,0.8730527224609859,4659.940327683714,3075.89,6531.826759992142,21,52508.26229204862,12461.086502296726,12461.086502296726,6099.5043791690405,5,0,0.11616275444888785
182724_6690-X3748-Y10610_reg.swc,49297.958879466125,4087.6106476037417,391.0,196.0,23.0,12173.368495943994,0.8058868338443405,4382.546071504676,2526.7739074069796,4461.977076163875,8,35255.644138589414,7756.5120247871,7756.5120247871,6902.321021568837,2,0,0.19577917778032689
182724_6704-X3301-Y12214_reg.swc,125749.82203758396,6094.564315437158,403.0,202.0,32.0,17894.299894507254,0.8375803928712141,4217.640826643003,3504.0044096060287,6509.749084815871,29,99748.64906278686,7612.456346945962,7612.456346945962,3393.1819945419275,2,0,0.03401732280510472
182724_7371-X5043-Y7827_reg.swc,54127.02331324256,5169.971885647419,245.0,123.0,23.0,11709.210274924335,0.8584044407063384,4239.5019999999995,3658.244513778173,4795.881118206997,15,39075.07618658484,9583.650897203846,9583.650897203846,5419.9412515182175,4,0,0.13870583964156105
182724_7600-X5645-Y23085_reg.swc,60012.08606790422,3454.2387693425294,321.0,161.0,26.0,9887.373573695015,0.8707538150588916,3990.3719999999985,3638.089134011515,3873.7277158530446,9,55162.276583266954,40032.65583739479,40032.65583739479,9666.249765083096,2,0,0.17523297376046434
182724_7822-X5447-Y22786_reg.swc,48378.296489464126,5283.739394446848,457.0,229.0,29.0,10523.975081273962,0.8588935226061513,2904.8584044096015,3498.89036414464,5265.126773027921,9,31699.403985164532,6535.85735710197,6535.85735710197,6535.85735710197,1,0,0.20618234210841255
182724_7871-X4578-Y21040_reg.swc,47353.46359732908,4136.384980029785,411.0,206.0,28.0,13085.434906821296,0.8624984777826644,3216.0570000000007,3478.9742449130663,3999.6984216969513,13,32476.14292060567,9620.886856945428,9620.886856945428,9620.886856945428,1,0,0.29624475050702853
182724_8055-X5917-Y23103_reg.swc,49007.127549445235,4781.339815067845,429.0,215.0,28.0,11365.297951728824,0.8803493294457357,4769.02914187015,3891.8299435488507,3638.642261771207,11,34982.25556070365,12175.403995110219,12175.403995110219,5442.388360286864,3,0,0.15557568467370128
182724_8100-X5413-Y22190_reg.swc,38307.763928754095,5192.539486046613,273.0,137.0,23.0,11488.477364799759,0.8696613357571079,3019.4439113458766,3927.3739853049856,5328.952149180852,14,28121.354888992577,10449.33411399869,10449.33411399869,10449.33411399869,1,0,0.3715800378483481
182724_8150-X4450-Y19864_reg.swc,31395.823535196225,4419.414221056384,267.0,134.0,25.0,12860.543920480375,0.8590207080178012,3151.053999999999,3535.6549693749575,3546.702366851844,12,21642.363163665003,6112.866913732608,6112.866913732608,6112.866913732608,1,0,0.28244914233744106
182724_8155-X4575-Y20238_reg.swc,43837.595516920366,4431.313356509031,255.0,128.0,20.0,12697.813870456668,0.8427513408237888,3840.4122064244684,3703.371701519952,3997.850868903619,12,26890.005330717646,5003.255569374473,5003.255569374473,5003.255569374473,1,0,0.18606376264488994
182724_8159-X4833-Y21213_reg.swc,33250.16952594703,4276.096235532427,207.0,104.0,18.0,11041.352901009768,0.8393092221780286,3528.551866704028,3745.52939050737,4034.588516287503,5,16869.792282469625,11732.142476207062,11732.142476207062,11732.142476207062,1,0,0.6954526931785999
182724_8257-X5319-Y21978_reg.swc,37836.0796313334,4248.165689212184,191.0,96.0,19.0,10032.387563879063,0.8627043174854765,3432.4729819504046,2497.902486936967,3984.037194626744,5,24472.833675439706,12535.87274564472,12535.87274564472,11688.89281488934,2,0,0.4776272731596262
182724_8281-X5491-Y21925_reg.swc,58484.12683689605,4912.290310255502,431.0,216.0,20.0,12580.510406981768,0.8616989294064618,3579.809000000001,4000.236997822315,5139.312000000001,15,38113.47688485727,8566.408016558858,8566.408016558858,5776.077271529638,4,0,0.1515494713058968
182725_6819-X6109-Y7853_reg.swc,54677.95826936163,5616.1675360321115,315.0,158.0,26.0,11498.420238008555,0.8504573092954788,3720.852491870357,3335.3506386890467,5991.269999999999,10,41870.76783362831,17254.78908704101,17254.78908704101,17254.78908704101,1,0,0.41209631396305335
182725_7341-X4593-Y22594_reg.swc,76513.76374152841,5598.708642687966,411.0,206.0,27.0,11426.689791202507,0.8700786541881306,5611.125000000001,4201.820946689696,5360.266080308752,16,56592.856716841554,15015.810686288969,15015.810686288969,8843.315460136224,2,0,0.15626204388979942
182725_7482-X7429-Y6760_reg.swc,58334.83946748945,4024.8272327176583,431.0,216.0,26.0,12333.634947767374,0.8508731290314903,2985.5540667536397,3985.1221762912264,3627.790823985284,18,50069.3546661062,12226.93663273318,12226.93663273318,10714.958740023394,2,0,0.2140023335926226
182725_7649-X3440-Y17884_reg.swc,31626.621186228964,4463.036281297305,217.0,109.0,17.0,9407.913601464787,0.8523843866728537,3209.9169999999995,2460.812632871314,4428.78921760343,5,22434.819301191474,12154.291900608898,12154.291900608898,12154.291900608898,1,0,0.541760187030497
182725_7657-X3644-Y17105_reg.swc,38439.95573084789,4498.661071058563,315.0,158.0,24.0,13884.730331767605,0.817564432889433,2963.7809922912475,3513.346407702064,4234.855728714953,8,29801.91844502442,5884.368269739804,5884.368269739804,4969.21682812735,2,0,0.16674150817820876
182725_7677-X7858-Y6794_reg.swc,27973.170605107614,3979.693090781628,257.0,129.0,17.0,10076.134881618997,0.8631051407970437,3587.8765487615165,3897.8670914209097,3468.550299051505,6,16756.680779543392,10913.972173305847,10913.972173305847,5756.037627205718,2,0,0.34350702880445794
182725_7714-X7032-Y7882_reg.swc,40947.19897006359,4249.096277215451,247.0,124.0,23.0,12997.186614531627,0.8211070644319475,3667.0254739340035,4017.2259370359616,3541.6369496928646,12,28991.686036579176,8966.47996312603,8966.47996312603,6547.637160303032,2,0,0.2258453389720693
182725_7762-X3772-Y19585_reg.swc,54649.414215225595,4106.714565366673,289.0,145.0,27.0,11900.710989093814,0.7950312055843783,3785.4938516040984,3269.198508626486,3780.601978454618,11,40612.16682847679,7637.501437231622,7637.501437231622,7637.501437231622,1,0,0.18805944212452838
182725_7988-X4540-Y20706_reg.swc,33523.74611704055,3845.2196942249193,219.0,110.0,21.0,11584.42531659956,0.8328293736702483,3450.111,4031.8801788546803,3689.8526640755836,6,21554.48359846566,6075.5528570866645,6075.5528570866645,6075.5528570866645,1,0,0.28186956228072885
182725_8028-X4256-Y19926_reg.swc,34188.2958238886,3930.3435455021686,247.0,124.0,19.0,9374.96247896784,0.8458246496908383,3671.901,3270.9803400715414,3382.122415956815,6,27080.28826037053,11370.29572765302,11370.29572765302,10180.964833571254,2,0,0.3759548176032581
18452_7249-X11408-Y2071_reg.swc,34328.11478637801,4347.5165382034675,189.0,95.0,24.0,7105.8373382231575,0.7567000928989895,2714.2131227490254,2512.15083677687,3931.1532046804286,1,28309.12280884372,28309.12280884372,28309.12280884372,28309.12280884372,1,0,1.0
18453_5667-X25695-Y3103_reg.swc,47991.034187968115,4621.002532557843,167.0,84.0,29.0,7135.97652291217,0.8171148522496924,6252.558744186446,4122.5377342472075,2053.1800000000003,6,36587.474089520176,18437.72135770263,18437.72135770263,13291.692772061915,2,0,0.3632853347443595
18453_5701-X28505-Y4297_reg.swc,47928.10725872787,6069.021213936018,305.0,153.0,26.0,7734.2051855170375,0.8890690617965855,2234.144070519903,6647.651776552302,1500.4560269462222,7,38410.39922842358,27388.83091527556,19051.55850277095,15227.557863753596,5,2,0.3964436238529187
18453_5766-X31719-Y6139_reg.swc,34536.67877103509,7434.52312422384,159.0,80.0,16.0,9257.885918874532,0.8581134522532756,1907.512999999999,7958.403,1918.0120941718744,4,26953.647578013763,5103.755646431332,5103.755646431332,5103.755646431332,1,0,0.1893530599767318
18453_5941-X24629-Y3152_reg.swc,61700.63586096301,3591.45379062498,329.0,165.0,22.0,6097.0386227516665,0.8262557050116812,2879.051678017161,5905.441616035683,2132.972521651321,11,51446.07481267726,46078.932535566666,36315.81339370123,15735.90253149223,8,2,0.30587178105985674
18453_5995-X24812-Y3143_reg.swc,70577.04143650028,6179.689507128632,341.0,171.0,26.0,9473.256456909343,0.815808845850141,3080.7696493181147,8304.527842789386,2180.222899593142,14,50645.634750868514,40646.968562730835,36435.6514643262,17456.16702097051,10,5,0.34467268712968707
18453_6035-X24820-Y3039_reg.swc,54627.713920592294,5321.492000977698,249.0,125.0,19.0,7293.847070100922,0.8144926141301349,5784.169258583937,3293.239099306143,3037.946285263813,9,46005.127341562715,28369.36026287986,28369.36026287986,15005.36421182974,3,0,0.3261672139373331
18453_6181-X10238-Y3690_reg.swc,58566.804002663135,7274.18860300938,221.0,111.0,23.0,10004.23824110125,0.8277191807428688,6284.786535858638,7881.030790570514,2819.623034640029,10,42827.61254295502,26633.281884073785,23834.1534025143,20231.82770260205,5,2,0.4724014835594684
18453_6316-X30559-Y4743_reg.swc,17975.30054642609,1243.9213413757325,109.0,55.0,20.0,2894.2299992518037,0.8103293617802036,977.2604938620098,1512.6004497146669,1079.813640889699,4,17333.09185204036,17333.09185204036,17333.09185204036,7987.510680926869,4,0,0.46082434392607347
18453_6477-X30376-Y5078_reg.swc,32896.24921137312,1498.0821314066866,209.0,105.0,13.0,2107.8386193255483,0.8532347597360477,1997.258999999999,813.0699999999997,778.944,5,33004.23488633801,31616.81734361893,31616.81734361893,22358.039734727176,4,0,0.6774294211553502
18453_6479-X9010-Y4330_reg.swc,44181.23203123674,5260.448052697982,219.0,110.0,21.0,6361.931737712254,0.841394231037948,6131.452914870752,3847.344839948968,1197.1680000000001,6,37584.66875701723,23722.836785314823,23722.836785314823,8117.6463664452,4,0,0.21598291630359517
18453_6537-X8725-Y4484_reg.swc,37399.60205776684,2408.3397523996214,217.0,109.0,17.0,3974.787813747014,0.8046599470879978,3292.35296613055,2266.9729999999995,1096.9148169639998,6,34639.554296253125,34396.18552022953,34396.18552022953,16168.08886822918,5,0,0.46675222001854805
18453_6561-X9442-Y3817_reg.swc,43059.51024717691,6828.8307632148135,161.0,81.0,17.0,8857.00172713768,0.8192659848325551,2622.6623093306016,7573.476000000001,2126.344539321829,6,30485.441416293466,28055.31513481881,28055.31513481881,15934.93184904962,5,0,0.5227062856479724
18453_6604-X9161-Y4006_reg.swc,83695.27009124946,5765.5738997950575,411.0,206.0,25.0,6990.89340212381,0.8312268204879417,6380.624044781551,4479.748463376212,4077.371,16,72489.73329587665,36843.186221758515,36843.186221758515,14242.006133533116,5,0,0.19646928586979953
18453_6675-X10576-Y3102_reg.swc,42236.49009106748,5468.005295567114,193.0,97.0,16.0,7089.124873021446,0.7823040730875584,2222.009496899628,6136.852000000001,1336.7731450788497,8,35496.59442941276,35159.06741850299,34434.92461509157,25835.470509192663,7,1,0.7278295544821388
18453_6675-X8876-Y4461_reg.swc,60538.75724155388,7093.38663190319,309.0,155.0,27.0,9488.696808085846,0.8514035652876029,4340.375999999999,7407.2336418599425,2524.8221886768615,7,50178.50495414178,35581.41392339444,33859.71454025052,17493.23701663897,6,2,0.3486201319195554
18453_6748-X28152-Y3578_reg.swc,29236.73301358392,834.9562702704853,221.0,111.0,23.0,2175.144969687282,0.8052297981326277,1005.348,1041.6170000000002,939.5776288533857,1,30554.945368051784,30554.945368051784,30554.945368051784,30554.945368051784,1,0,1.0
18453_6846-X11548-Y2831_reg.swc,31379.36457232341,1732.9063551902661,165.0,83.0,24.0,3645.49470504845,0.793710657567004,1146.4772532395727,2328.3209407336353,1020.6469593963195,1,31093.78115619241,31093.78115619241,31093.78115619241,31093.78115619241,1,0,1.0
18453_7007-X11486-Y3611_reg.swc,33530.05980575601,2964.590758426661,167.0,84.0,15.0,5680.3419739215715,0.7514891742206677,1257.3713276997933,3694.435332717308,1311.194764847195,2,29145.489361173113,28414.236825311167,28414.236825311167,28414.236825311167,1,0,0.9749102673556032
18453_7010-X8769-Y4509_reg.swc,53513.99696794184,2994.7659456248,405.0,203.0,43.0,4168.501986985838,0.8477347948054723,3510.869875835455,2893.6763088286084,3171.924,13,48567.73557401637,45929.91679566846,45929.91679566846,19434.02351471037,8,0,0.4001426725998634
18453_7024-X9012-Y4138_reg.swc,79785.26844429389,7060.2096795713,345.0,173.0,32.0,11032.909155706533,0.8596029953182259,6152.495948271032,7883.847567033428,5734.161999999999,11,52630.40198950797,20020.59251736905,17222.317971175482,9966.174498979064,6,2,0.18936155002133276
18453_7112-X9089-Y4667_reg.swc,50458.74802948332,3725.2233264322376,303.0,152.0,18.0,4748.407297622777,0.8103101896180009,2324.1629999999996,3839.1221268117215,1606.1719662318628,6,47980.66191770934,42550.98649857065,42550.98649857065,21367.74325170097,4,0,0.4453407351559333
18453_7132-X11495-Y3152_reg.swc,27559.024959010927,967.2732160697923,161.0,81.0,18.0,1447.6782175649048,0.7814063275788395,916.0561236689609,1212.0965605549477,917.9003047028802,1,28643.11134443771,28643.11134443771,28643.11134443771,28643.11134443771,1,0,1.0
18453_7132-X31679-Y7308_reg.swc,41608.29366240311,5053.182405887699,193.0,97.0,23.0,7296.760550114796,0.8133212874013679,3032.849450612688,5369.456,2547.6707177021153,8,27237.395161152963,22010.87043451376,22010.87043451376,4677.735912061953,6,0,0.17173947377807708
18453_7146-X8788-Y4552_reg.swc,45532.72388499797,1648.9321188511676,299.0,150.0,23.0,3816.787400979862,0.8559427811141888,2680.473343680682,1916.527000000001,2045.0692519410195,6,43943.279809499334,43043.79668459129,43043.79668459129,14302.042251231658,4,0,0.32546597143483924
18453_7188-X11060-Y3637_reg.swc,47036.38885502807,1043.4908996752192,277.0,139.0,21.0,2985.022615713794,0.8357845281503132,1663.638748367468,1142.9297079790108,1302.955,1,49684.42137177248,49684.42137177248,49684.42137177248,49684.42137177248,1,0,1.0
18453_7223-X30215-Y5120_reg.swc,42975.13693474785,6136.177256893823,219.0,110.0,21.0,9304.702010235316,0.7615788054402967,2545.136821029895,6826.111,1707.0406540018905,5,35203.57733435735,34691.39812367361,34181.03518693818,31458.797472866543,4,1,0.8936250192438242
18453_7245-X12979-Y2864_reg.swc,41305.33937362354,2263.0707304503326,265.0,133.0,24.0,3730.3559771874616,0.8100020866510865,1961.4863882238478,3202.0647828169494,1667.0729999999999,3,39072.44458244327,39072.44458244327,39072.44458244327,22798.19525071225,3,0,0.5834852539775908
18453_7304-X11719-Y3749_reg.swc,19997.5231240283,469.35408044493767,115.0,58.0,11.0,1216.0230945386654,0.7427149490913522,750.2806776801935,514.6964380182176,700.0280000000001,1,20531.214587889182,20531.214587889182,20531.214587889182,20531.214587889182,1,0,1.0
18461_6043-X11080-Y1667_reg.swc,49654.55328044338,1815.4003066478074,211.0,106.0,26.0,5628.774563494183,0.770445449636393,2582.991649870126,1751.4862967677873,1033.7589999999998,5,46996.439939414246,23412.52410696499,23412.52410696499,19391.5006312172,2,0,0.4126163738405691
18461_7132-X6338-Y3287_reg.swc,37226.05778381813,945.2824025416961,273.0,137.0,27.0,2649.131696972183,0.8063860403803718,1426.8339011917114,802.9550000000002,848.2290000000002,3,37441.625442685865,37441.625442685865,37441.625442685865,18122.352061882004,3,0,0.4840161677708937
18469_5755-X6174-Y22049_reg.swc,78824.39132415826,5554.07487841388,643.0,322.0,31.0,11686.713267087982,0.8355548955427842,4866.940007605701,3335.8981720384913,5742.00064768505,13,70395.54477463552,18864.068276502432,18864.068276502432,9774.420390707794,2,0,0.1388499857767938
18469_5853-X6133-Y22657_reg.swc,94083.9419699585,4242.2769116549425,593.0,297.0,36.0,14192.69949441041,0.8457317424922411,5091.206244170793,3925.7493420919072,4672.488175275926,20,79478.99161821732,24107.25305880314,24107.25305880314,12953.896455718355,5,0,0.1629851636510849
18469_5924-X6028-Y22963_reg.swc,68718.38594901563,4654.952422036556,403.0,202.0,32.0,12450.954019728648,0.819279610012176,5222.247419412043,2960.6722216865855,5028.512060897554,12,59602.88674776982,15399.003240301223,15399.003240301223,8735.320640159658,3,0,0.14655868392962543
18469_6120-X7370-Y17612_reg.swc,67349.71374840158,2624.1156468458094,351.0,176.0,17.0,2844.7504220277924,0.8040657792417444,3346.8280000000004,2458.634,2267.443,5,67816.66479110382,67235.37051788227,67235.37051788227,32505.25451672119,4,0,0.47931072129317137
18469_6185-X6027-Y36689_reg.swc,64127.09271691922,5788.729243088726,785.0,393.0,33.0,12662.360486939158,0.864124858228752,2824.6283545542265,3165.084784923951,6251.6889157190435,18,57163.52673254311,17979.561742986087,17979.561742986087,14622.606106127903,5,0,0.25580307832552385
18469_6420-X7388-Y41840_2_reg.swc,31295.20553162564,1963.503507901374,271.0,136.0,16.0,3045.731008901015,0.8331772693324002,1367.4530000000004,2050.576435597714,1816.688,7,33829.33347197752,33125.96117048429,33125.96117048429,17039.621107001272,6,0,0.5036936693155961
